"BUDGET_YEAR","BUDGET_MONTH","GROUP_ID_MAIN_DESC","CASE_AMT","TREASURY_AMT","UPDATE_DATE"
"2563","ตุลาคม","น้ำมันและผลิตภัณฑ์น้ำมัน","2366552.3","1432731.38","2566-09-05"
"2564","ตุลาคม","น้ำมันและผลิตภัณฑ์น้ำมัน","3448386.86","2071912.12","2566-09-05"
"2565","ตุลาคม","น้ำมันและผลิตภัณฑ์น้ำมัน","13753118.9","8261491.34","2566-09-05"
"2566","ตุลาคม","น้ำมันและผลิตภัณฑ์น้ำมัน","984439.1","592961.7","2566-09-05"
"2567","ตุลาคม","น้ำมันและผลิตภัณฑ์น้ำมัน","0","0","2566-09-05"
"2563","ตุลาคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","62876.97","37726.18","2566-09-05"
"2564","ตุลาคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","675024.32","413014.6","2566-09-05"
"2565","ตุลาคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","675284.7","405170.82","2566-09-05"
"2566","ตุลาคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","745118.45","447071.07","2566-09-05"
"2567","ตุลาคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","0","0","2566-09-05"
"2565","ตุลาคม","พรมและสิ่งทอปูพื้น","0","0","2566-09-05"
"2566","ตุลาคม","พรมและสิ่งทอปูพื้น","0","0","2566-09-05"
"2567","ตุลาคม","พรมและสิ่งทอปูพื้น","0","0","2566-09-05"
"2563","ตุลาคม","ยาสูบ","22940759.5","13766273","2566-09-05"
"2564","ตุลาคม","ยาสูบ","20735519.3","12456754.59","2566-09-05"
"2565","ตุลาคม","ยาสูบ","24341444.34","14605466.9","2566-09-05"
"2566","ตุลาคม","ยาสูบ","21646930.43","13003708.96","2566-09-05"
"2567","ตุลาคม","ยาสูบ","0","0","2566-09-05"
"2563","ตุลาคม","รถจักรยานยนต์","2138835.89","1283301.54","2566-09-05"
"2564","ตุลาคม","รถจักรยานยนต์","2183191.08","1309914.64","2566-09-05"
"2565","ตุลาคม","รถจักรยานยนต์","3047033.56","1828220.14","2566-09-05"
"2566","ตุลาคม","รถจักรยานยนต์","1653992.72","993995.64","2566-09-05"
"2567","ตุลาคม","รถจักรยานยนต์","0","0","2566-09-05"
"2563","ตุลาคม","รถยนต์","3013616","1808969.6","2566-09-05"
"2564","ตุลาคม","รถยนต์","4536327.5","2721796.5","2566-09-05"
"2565","ตุลาคม","รถยนต์","3750260","2255356","2566-09-05"
"2566","ตุลาคม","รถยนต์","1807414.28","1085248.57","2566-09-05"
"2567","ตุลาคม","รถยนต์","0","0","2566-09-05"
"2565","ตุลาคม","สถานอาบน้ำหรืออบตัวและนวด","0","0","2566-09-05"
"2566","ตุลาคม","สถานอาบน้ำหรืออบตัวและนวด","0","0","2566-09-05"
"2567","ตุลาคม","สถานอาบน้ำหรืออบตัวและนวด","0","0","2566-09-05"
"2565","ตุลาคม","สนามกอล์ฟ","4000","3200","2566-09-05"
"2566","ตุลาคม","สนามกอล์ฟ","0","0","2566-09-05"
"2567","ตุลาคม","สนามกอล์ฟ","0","0","2566-09-05"
"2565","ตุลาคม","สนามแข่งม้า","0","0","2566-09-05"
"2566","ตุลาคม","สนามแข่งม้า","0","0","2566-09-05"
"2567","ตุลาคม","สนามแข่งม้า","0","0","2566-09-05"
"2565","ตุลาคม","สลากกินแบ่ง","0","0","2566-09-05"
"2566","ตุลาคม","สลากกินแบ่ง","0","0","2566-09-05"
"2567","ตุลาคม","สลากกินแบ่ง","0","0","2566-09-05"
"2565","ตุลาคม","สารทำลายชั้นบรรยากาศโอโซน","0","0","2566-09-05"
"2566","ตุลาคม","สารทำลายชั้นบรรยากาศโอโซน","0","0","2566-09-05"
"2567","ตุลาคม","สารทำลายชั้นบรรยากาศโอโซน","0","0","2566-09-05"
"2563","ตุลาคม","สุรา","15054962.63","9110377.88","2566-09-05"
"2564","ตุลาคม","สุรา","12143211.66","7317727","2566-09-05"
"2565","ตุลาคม","สุรา","10273155.36","6186093.22","2566-09-05"
"2566","ตุลาคม","สุรา","9527601.07","5774760.67","2566-09-05"
"2567","ตุลาคม","สุรา","0","0","2566-09-05"
